date,股票代码,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate
2025-12-01,600498,22.99,23.74,23.85,22.91,558076.0,1314345000.0,4.11,3.85,0.88,4.38
2025-12-02,600498,23.35,22.92,23.74,22.86,533256.0,1227940668.0,3.71,-3.45,-0.82,4.18
2025-12-03,600498,23.1,22.72,23.3,22.7,314493.0,720980265.0,2.62,-0.87,-0.2,2.47
2025-12-04,600498,22.67,22.53,22.67,22.2,305824.0,686495724.0,2.07,-0.84,-0.19,2.4
2025-12-05,600498,22.51,22.97,23.06,22.35,418725.0,957556122.0,3.15,1.95,0.44,3.28
2025-12-08,600498,23.29,24.85,25.26,23.27,1336011.0,3305505214.0,8.66,8.18,1.88,10.48
2025-12-09,600498,24.8,24.63,24.99,24.31,819761.0,2026821998.0,2.74,-0.89,-0.22,6.43
2025-12-10,600498,24.5,24.88,25.08,24.11,646101.0,1591096781.0,3.94,1.02,0.25,5.07
2025-12-11,600498,25.08,25.4,25.82,24.58,1202070.0,3038477040.0,4.98,2.09,0.52,9.43
2025-12-12,600498,25.28,26.48,26.9,25.01,1431662.0,3735791120.0,7.44,4.25,1.08,11.23
2025-12-15,600498,26.04,26.77,27.27,25.67,1258443.0,3325253568.0,6.04,1.1,0.29,9.87
2025-12-16,600498,26.2,25.31,26.39,25.08,856071.0,2190079006.0,4.89,-5.45,-1.46,6.72
2025-12-17,600498,25.6,26.7,26.8,25.48,1134914.0,2970648711.0,5.22,5.49,1.39,8.9
2025-12-18,600498,27.0,26.31,27.18,26.21,1052919.0,2810347234.0,3.63,-1.46,-0.39,8.26
2025-12-19,600498,26.58,27.58,28.49,26.1,1478198.0,4027003420.0,9.08,4.83,1.27,11.62
2025-12-22,600498,27.83,28.55,29.33,27.6,1474533.0,4230730650.0,6.27,3.52,0.97,11.6
2025-12-23,600498,28.31,27.4,28.58,27.02,1040515.0,2880081433.0,5.46,-4.03,-1.15,8.18
2025-12-24,600498,27.01,27.75,27.81,26.73,725128.0,1990593934.0,3.94,1.28,0.35,5.7
2025-12-25,600498,27.5,27.87,28.52,27.45,920946.0,2582082116.0,3.86,0.43,0.12,7.24
2025-12-26,600498,27.7,29.45,30.36,27.6,1787251.0,5192989113.0,9.9,5.67,1.58,14.05
2025-12-28,,27.7,29.45,30.36,27.6,1787251.0,5192989113.0,,,,
